Date,Time,PM2.5
01/01/2019,1:00 AM,401.75
01/01/2019,2:00 AM,333.75
01/01/2019,3:00 AM,256.75
01/01/2019,4:00 AM,222.25
01/01/2019,5:00 AM,210.75
01/01/2019,6:00 AM,194
01/01/2019,7:00 AM,134.25
01/01/2019,8:00 AM,108.75
01/01/2019,9:00 AM,120.75
01/01/2019,10:00 AM,70.25
01/01/2019,11:00 AM,68.25
01/01/2019,12:00 PM,48.5
01/01/2019,1:00 PM,42
01/01/2019,2:00 PM,44.25
01/01/2019,3:00 PM,42.5
01/01/2019,4:00 PM,41.25
01/01/2019,5:00 PM,48.75
01/01/2019,6:00 PM,105
01/01/2019,7:00 PM,131.5
01/01/2019,8:00 PM,120
01/01/2019,9:00 PM,88.75
01/01/2019,10:00 PM,82.25
01/01/2019,11:00 PM,73.75
01/01/2019 24:00 AM,,72.75
02/01/2019,1:00 AM,72.75
02/01/2019,2:00 AM,77.5
02/01/2019,3:00 AM,89
02/01/2019,4:00 AM,100
02/01/2019,5:00 AM,105.75
02/01/2019,6:00 AM,130.75
02/01/2019,7:00 AM,158
02/01/2019,8:00 AM,279.25
02/01/2019,9:00 AM,349
02/01/2019,10:00 AM,284.75
02/01/2019,11:00 AM,212.5
02/01/2019,12:00 PM,161.5
02/01/2019,1:00 PM,128
02/01/2019,2:00 PM,94
02/01/2019,3:00 PM,104
02/01/2019,4:00 PM,143
02/01/2019,5:00 PM,163.75
02/01/2019,6:00 PM,241.25
02/01/2019,7:00 PM,305.75
02/01/2019,8:00 PM,390.5
02/01/2019,9:00 PM,496.5
02/01/2019,10:00 PM,579
02/01/2019,11:00 PM,587.25
02/01/2019 24:00 AM,,421.75
03/01/2019,1:00 AM,431
03/01/2019,2:00 AM,468
03/01/2019,3:00 AM,452.25
03/01/2019,4:00 AM,417
03/01/2019,5:00 AM,391.25
03/01/2019,6:00 AM,359.5
03/01/2019,7:00 AM,329.75
03/01/2019,8:00 AM,298
03/01/2019,9:00 AM,232.75
03/01/2019,10:00 AM,210.5
03/01/2019,11:00 AM,234
03/01/2019,12:00 PM,289
03/01/2019,1:00 PM,297.75
03/01/2019,2:00 PM,253.75
03/01/2019,3:00 PM,217.75
03/01/2019,4:00 PM,181
03/01/2019,5:00 PM,208
03/01/2019,6:00 PM,250
03/01/2019,7:00 PM,314.75
03/01/2019,8:00 PM,371.5
03/01/2019,9:00 PM,358
03/01/2019,10:00 PM,345.5
03/01/2019,11:00 PM,349.5
03/01/2019 24:00 AM,,312.75
04/01/2019,1:00 AM,286.5
04/01/2019,2:00 AM,274
04/01/2019,3:00 AM,248.5
04/01/2019,4:00 AM,206.5
04/01/2019,5:00 AM,168.5
